Wavelength(nm),A(lambda),B(lambda),R(lambda)
300,6,0.01,
305,6,0.01,
310,6,0.01,
315,6,0.01,
320,6,0.01,
330,6,0.01,
335,6,0.01,
340,5.88,0.01,
345,5.71,0.01,
350,5.46,0.01,
355,5.22,0.01,
360,4.62,0.01,
365,4.29,0.01,
370,3.75,0.01,
375,3.56,0.01,
380,3.19,0.01,0.01
385,2.31,0.0125,0.0125
390,1.88,0.025,0.025
395,1.58,0.05,0.05
400,1.43,0.1,0.1
405,1.3,0.2,0.2
410,1.25,0.4,0.4
415,1.2,0.8,0.8
420,1.15,0.9,0.9
425,1.11,0.95,0.95
430,1.07,0.98,0.98
435,1.03,1,1
440,1,1,1
445,0.97,0.97,1
450,0.94,0.94,1
455,0.9,0.9,1
460,0.8,0.8,1
465,0.7,0.7,1
470,0.62,0.62,1
475,0.55,0.55,1
480,0.45,0.45,1
485,0.4,0.4,1
490,0.22,0.22,1
495,0.16,0.16,1
500,0.1,0.1,1
505,0.079,0.079,1
510,0.063,0.063,1
515,0.05,0.05,1
520,0.04,0.04,1
525,0.032,0.032,1
530,0.025,0.025,1
535,0.02,0.02,1
540,0.016,0.016,1
545,0.013,0.013,1
550,0.01,0.01,1
555,0.008,0.008,1
560,0.006,0.006,1
565,0.005,0.005,1
570,0.004,0.004,1
575,0.003,0.003,1
580,0.002,0.002,1
585,0.002,0.002,1
590,0.001,0.001,1
595,0.001,0.001,1
600,0.001,0.001,1
605,0.001,0.001,1
610,0.001,0.001,1
615,0.001,0.001,1
620,0.001,0.001,1
625,0.001,0.001,1
630,0.001,0.001,1
635,0.001,0.001,1
640,0.001,0.001,1
645,0.001,0.001,1
650,0.001,0.001,1
655,0.001,0.001,1
660,0.001,0.001,1
665,0.001,0.001,1
670,0.001,0.001,1
675,0.001,0.001,1
680,0.001,0.001,1
685,0.001,0.001,1
690,0.001,0.001,1
695,0.001,0.001,1
700,0.001,0.001,1
705,,,0.977237221
710,,,0.954992586
715,,,0.9332543008
720,,,0.9120108394
725,,,0.8912509381
730,,,0.87096359
735,,,0.8511380382
740,,,0.8317637711
745,,,0.8128305162
750,,,0.7943282347
755,,,0.7762471166
760,,,0.758577575
765,,,0.7413102413
770,,,0.7244359601
775,,,0.7079457844
780,,,0.6918309709
785,,,0.6760829754
790,,,0.660693448
795,,,0.645654229
800,,,0.6309573445
805,,,0.6165950019
810,,,0.6025595861
815,,,0.5888436554
820,,,0.5754399373
825,,,0.5623413252
830,,,0.5495408739
835,,,0.5370317964
840,,,0.5248074602
845,,,0.512861384
850,,,0.5011872336
855,,,0.4897788194
860,,,0.4786300923
865,,,0.4677351413
870,,,0.4570881896
875,,,0.4466835922
880,,,0.4365158322
885,,,0.4265795188
890,,,0.4168693835
895,,,0.4073802778
900,,,0.3981071706
905,,,0.389045145
910,,,0.3801893963
915,,,0.3715352291
920,,,0.3630780548
925,,,0.3548133892
930,,,0.3467368505
935,,,0.3388441561
940,,,0.3311311215
945,,,0.3235936569
950,,,0.316227766
955,,,0.3090295433
960,,,0.301995172
965,,,0.2951209227
970,,,0.2884031503
975,,,0.2818382931
980,,,0.2754228703
985,,,0.2691534804
990,,,0.2630267992
995,,,0.2570395783
1000,,,0.2511886432
1005,,,0.2454708916
1010,,,0.2398832919
1015,,,0.2344228815
1020,,,0.2290867653
1025,,,0.2238721139
1030,,,0.2187761624
1035,,,0.213796209
1040,,,0.2089296131
1045,,,0.2041737945
1050,,,0.2
1055,,,0.2
1060,,,0.2
1065,,,0.2
1070,,,0.2
1075,,,0.2
1080,,,0.2
1085,,,0.2
1090,,,0.2
1095,,,0.2
1100,,,0.2
1105,,,0.2
1110,,,0.2
1115,,,0.2
1120,,,0.2
1125,,,0.2
1130,,,0.2
1135,,,0.2
1140,,,0.2
1145,,,0.2
1150,,,0.2
1155,,,0.1588656469
1160,,,0.1261914689
1165,,,0.1002374467
1170,,,0.07962143411
1175,,,0.0632455532
1180,,,0.05023772863
1185,,,0.0399052463
1190,,,0.03169786385
1195,,,0.02517850824
1200,,,0.02
1205,,,0.02
1210,,,0.02
1215,,,0.02
1220,,,0.02
1225,,,0.02
1230,,,0.02
1235,,,0.02
1240,,,0.02
1245,,,0.02
1250,,,0.02
1255,,,0.02
1260,,,0.02
1265,,,0.02
1270,,,0.02
1275,,,0.02
1280,,,0.02
1285,,,0.02
1290,,,0.02
1295,,,0.02
1300,,,0.02
1305,,,0.02
1310,,,0.02
1315,,,0.02
1320,,,0.02
1325,,,0.02
1330,,,0.02
1335,,,0.02
1340,,,0.02
1345,,,0.02
1350,,,0.02
1355,,,0.02
1360,,,0.02
1365,,,0.02
1370,,,0.02
1375,,,0.02
1380,,,0.02
1385,,,0.02
1390,,,0.02
1395,,,0.02
1400,,,0.02